PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA,gardenKey
B526,B,B05,37.0,Cleveland Street Vegetable Garden,433-435 Cleveland Street,0.057,DPR,East New York,Active,40.674162,-73.884339,11208.0,1166.0,3088902.0,3040010003.0,East New York,42500091
,B,B02,35.0,Clifton Place Garden,289 Grand Avenue,0.086,TPL,,Clifton Pl. & Greene Avenue,40.687639000000004,-73.962648,11238.0,231.0,3000000.0,3019520003.0,Clinton Hill,42500092
B451,B,B03,36.0,Clifton Place Memorial Park & Garden,1031-35 Bedford Avenue,0.165,DPR,,Active,40.688603,-73.954945,11216.0,243.0,3000000.0,3017930009.0,Bedford,42500093
,X,X06,15.0,Clinton Avenue Block Association,757 East 179th Street,0.115,NYRP,,N/W corner of Prospect Avenue & 179th Street,40.845858,-73.888049,10457.0,371.0,2000000.0,2030940063.0,East Tremont,42500094
M281,M,M04,3.0,Clinton Community Garden,436 West 48th Street,0.35,DPR,Hell's Kitchen,Active,40.762716999999995,-73.991026,10036.0,127.0,1000000.0,1010570050.0,Clinton,42500095
,X,X04,16.0,College Avenue GreenThumb,1420 College Avenue,0.43,DPR,,E. 170th & E. 171st Streets,40.838033,-73.91027,10456.0,225.0,2000000.0,2027840004.0,East Concourse-Concourse Village,42500096
,M,M10,,Colonial Gardeners,304-306 West 150th St,,PRI,,Bradhurst Avenue & Frederick Douglass Boulevard,40.826069,-73.939785,10039.0,259.0,1000000.0,1020450098.0,Central Harlem North-Polo Grounds,42500097
M335,M,M03,1.0,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,0.057999999999999996,DPR,Lower East Side,Active,40.72017,-73.984289,10002.0,2201.0,1000000.0,1003440148.0,Lower East Side,42500098
B520,B,B04,34.0,Concerned Citizens of Grove Street,72-74 Grove Street,0.11,DPR,Bushwick,Active,40.692238,-73.92181,11221.0,399.0,3000000.0,3033220008.0,Bushwick South,42500099
B452,B,B05,37.0,Concerned Residents of Barbey Street,606 Glenmore Avenue,0.057,DPR,,Active,40.674396,-73.887803,11207.0,1150.0,3000000.0,3039970010.0,East New York,42500100
B453,B,B05,37.0,Concerned Residents of Montauk Avenue,214 Montauk Avenue,0.091,DPR,East New York,Active,40.673887,-73.87789000000001,11208.0,1194.0,,,East New York,42500101
,M,M08,0.0,Life Sciences High School,320 96th Street NY NY 10128,,DOE,Upper East Side,1st & 2nd Avenue,,,,,,,,42500102
,X,X06,15.0,Concerned Tenants of Daly Avenue,2139 Daly Avenue,0.179,TPL,,181st Street & Bronx Parkway South,40.845582,-73.880943,10460.0,363.0,2000000.0,2031250035.0,East Tremont,42500103
,B,B04,37.0,Contented Hart Garden,1475 Bushwick Avenue,0.057,TPL,Bushwick,Pilling & Granite Streets.,40.683411,-73.907424,11207.0,403.0,3000000.0,3034570003.0,Bushwick South,42500104
B454,B,B04,40.0,Cooper Street Block Buster Block Association.,41 Cooper Street,0.16,DPR,Bushwick,Active,40.684528,-73.91054100000001,11207.0,403.0,3000000.0,3034320040.0,Bushwick South,42500105
,B,B04,37.0,Cooper Street Gardeners,34 Cooper Street,0.078,NYRP,,Bushwick Avenue & Broadway,40.684311,-73.910725,11207.0,403.0,3000000.0,3034380024.0,Bushwick South,42500106
Q474A,Q,Q04,21.0,Corona Taxpayers Association,52-02 102nd  Street,0.18,DPR,Corona,Active,40.741788,-73.859801,11368.0,44301.0,4000000.0,4019320031.0,Corona,42500107
X338,X,X01,17.0,Courtlandt Avenue Association,364-366 East 158th Street,0.171,DPR,Melrose,Active,40.822689000000004,-73.91614,10451.0,69.0,2000000.0,2024040009.0,Melrose South-Mott Haven North,42500108
M315,M,M03,2.0,Creative Little Garden,530 East 6th Street,0.06,DPR,East Village,Active,40.72511,-73.98311899999999,10009.0,32.0,1000000.0,1004010025.0,East Village,42500109
,X,X05,,Creston Jungle Playground,2242 Creston Avenue,,NYRP,,E 182nd & E 183rd,40.856775,-73.90151800000001,10453.0,23704.0,2000000.0,2031630005.0,Fordham South,42500110
B455,B,B05,37.0,Crystal Street Block Association Community Garden,Crystal Street,0.344,DPR,East New York,Active,,,,,,,,42500111
,Q,Q14,31.0,Culinary Kids Garde (Seagirt Community Garden),3003 Seagirt Boulevard.,0.138,HPD,Far Rockaway,B30th & B31st,40.595964,-73.763133,11691.0,992.0,4000000.0,4158060004.0,Hammels-Arverne-Edgemere,42500112
,Q,Q12,27.0,"Curtis ""50 Cent"" Jackson Community Garden",11709 165th Street,0.083,NYRP,,At Foch Boulevard,40.684574,-73.78111,11434.0,284.0,4000000.0,4123560021.0,Baisley Park,42500113
,B,B02,33.0,David Foulke Community Garden,248-250 Bergen Street,0.073,TPL,Boerum Hill,Bond & Nevins Streets.,40.684364,-73.984438,11217.0,71.0,3000000.0,3003870038.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,42500114
,X,X07,14.0,Davidson Avenue Community Garden,2385 Davidson Avenue,0.115,TPL,,W. 184th Street & W. Fordham Rd.,40.861379,-73.903254,10468.0,253.0,,,Kingsbridge Heights,42500115
M336,M,M03,2.0,De Colores Community Garden,311-313 E 8th Street,0.066,DPR,East Village,Active,40.725296,-73.979821,10009.0,2602.0,1000000.0,1003910054.0,Lower East Side,42500116
,B,B04,37.0,Decatur Street Community Garden,1052 Decatur Street,0.057,NYRP,,Bushwick & Evergreen Avenues,40.685984999999995,-73.910265,11207.0,403.0,3000000.0,3034330014.0,Bushwick South,42500117
X179A,X,X02,17.0,Demera/Santiago Garden,941-943 Avenue St. John,0.126,DPR,,Not GreenThumb,40.815228999999995,-73.902569,10455.0,83.0,2000000.0,2026850030.0,Longwood,42500118
M323,M,M11,8.0,Diamante Garden (Block and School Association),306-310 East 118th Street,0.18600000000000003,DPR,East Harlem,Active,40.798107,-73.936371,10035.0,188.0,1000000.0,1016890047.0,East Harlem North,42500119
M337,M,M03,2.0,Dias y Flores,520-522 East 13th Street,0.11900000000000001,DPR,East Village,Active,40.729306,-73.979885,10009.0,34.0,1000000.0,1004060016.0,East Village,42500120
,M,M12,7.0,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,TPL,Washington Heights,Amsterdam Avenue & Broadway,40.833766,-73.942217,10032.0,245.0,1000000.0,1021170046.0,Washington Heights South,42500121
M302,M,M11,,Dream Street Park,223 - 231 E. 124 St.,0.252,DPR,,,40.802741999999995,-73.935612,10035.0,242.0,1000000.0,1017890011.0,East Harlem North,42500122
X271A,X,X04,16.0,Dred Scott Bird Sanctuary Garden and Park,E 169th Street,0.473,DPR,,Active,,,,,,,,42500123
,X,X06,15.0,Drew Garden - I.S. 167,East Tremont Avenue,,DOT,,west of E. 177th Street & BX River,,,,,,,,42500124
,Q,Q12,28.0,Dunton Block and Civic Association. Inc.,Remington Street,0.551,TPL,,At Shore Avenue,,,,,,,,42500125
,M,M12,10.0,Dyckman Valley School - P.S. 152,93 Nagle Avenue,0.09,DOE,,Ellwood & Sicles Streets.,40.860412,-73.927936,10040.0,283.0,1064149.0,1021730001.0,Washington Heights North,42500126
M324,M,M03,2.0,Earth People,333-335 East 8th Street,0.106,DPR,East Village,Active,40.725021999999996,-73.97917199999999,10009.0,2602.0,1000000.0,1003910043.0,Lower East Side,42500127
,M,M03,1.0,Earth School - P.S.64,600 East 6th Street,0.271,DOE,East Village,At Avenue B,40.72438,-73.98138,10009.0,2601.0,1004627.0,1003870001.0,Lower East Side,42500128
,M,M11,,East 103rd Street Community Garden,105 E 103rd Street,,NYRP,,Lexington & Park Avenues,40.790817,-73.948859,10029.0,166.0,1000000.0,1016310002.0,East Harlem South,42500129
,X,X01,8.0,East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden),401 E 143rd Street,0.20800000000000002,NYRP,,At Willis,40.812172,-73.92033599999999,10454.0,41.0,2000000.0,2022880001.0,Mott Haven-Port Morris,42500130
B414,B,B06,15.0,East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.),171 E 4th Street,0.057,DPR,Kensington,Active,40.648198,-73.977358,11218.0,500.0,,,Windsor Terrace,42500131
,B,B05,37.0,East End Community Garden,530-2 Glenmore Avenue / 260 Van Siclen Avenue,0.161,DPR,East New York,At Van Siclen Avenue,,,,,,,,42500132
,M,M11,8.0,East Harlem Community Garden,429-433 East 117th Street,0.142,TPL,East Harlem,1st & Pleasant Avenues,40.796357,-73.934119,10035.0,178.0,1000000.0,1017110013.0,East Harlem North,42500133
